title,view_count,like_count,comment_count,favorite_count,durations,published_at,published_date,published_time
Starbucks Music Playlist 2023 - Smooth Music Cafe - Relax Jazz Music Mixed With Starbucks Coffee,2305,20,9,0,P1DT1S,2023-09-17 22:00:09+00:00,2023-09-17,22:00:09
"Sweet Starbucks Music - 24 Hours Relaxing Starbucks Cafe Jazz Music - Good Mood Jazz For Work, Study",651,12,1,0,P1DT1S,2023-09-16 22:00:12+00:00,2023-09-16,22:00:12
"Good Mood Jazz Music - Happy Morning Starbucks Cafe Jazz Instrumental Background to Work, Study",931,12,11,0,P1DT1S,2023-09-15 22:00:07+00:00,2023-09-15,22:00:07
New Start Week Starbucks Music - Happy Morning Starbucks With Smooth Jazz Music - スタバ BGM - ジャズ,1653,14,8,0,P1DT1S,2023-09-10 22:00:10+00:00,2023-09-10,22:00:10
Starbucks Morning Jazz - Relaxing September Music & Positive Autumn Bossa Nova Piano to Start Day,1790,26,6,0,P1DT1S,2023-09-08 22:00:12+00:00,2023-09-08,22:00:12
Full Energy New Day With Starbucks Coffee Music - Starbucks Music - Morning Jazz & Bossa Nova Music,4347,44,8,0,P1D,2023-09-05 22:00:11+00:00,2023-09-05,22:00:11
"Relaxing Starbucks Inspired Coffee Music - Coffee Shop Music, Cafe Jazz Music, Starbucks Music 2023",1285,16,0,0,PT11H42M9S,2023-09-02 11:52:16+00:00,2023-09-02,11:52:16
"Starbucks Weekend Jazz Music - Relaxing Jazz Music - Chill Out Music For Work, Study",1434,14,1,0,PT11H54M55S,2023-08-27 13:00:55+00:00,2023-08-27,13:00:55
Sweet August Jazz ☕ Relaxing Starbucks Coffee  Jazz & Positive Autumn Bossa Nova Piano For Good Mood,1500,14,3,0,P2DT1S,2023-08-24 22:00:11+00:00,2023-08-24,22:00:11
Happy Starbucks Music 2023 - Happy Morning Starbucks With Smooth Jazz Music - スタバ BGM - ジャズ,4506,23,2,0,P1D,2023-08-19 22:00:07+00:00,2023-08-19,22:00:07
Stress Relief with Fall Jazz Relax Music 🍂 Starbucks Coffee Shop Ambience ~ Smooth Jazz Instrumental,2774,28,8,0,P2D,2023-08-07 22:00:12+00:00,2023-08-07,22:00:12
"Weekend Music - Relaxing Starbucks Coffee Jazz Music - Chill Out Jazz Playlist For Work, Study",2285,20,3,0,P2DT1S,2023-08-05 22:00:11+00:00,2023-08-05,22:00:11
Sweet August Jazz ☕ Delicate Starbucks Coffee Music & Happy Bossa Nova Piano for Positive Moods,2035,25,7,0,P2D,2023-08-02 22:00:07+00:00,2023-08-02,22:00:07
Happy August Jazz - Starbucks Jazz & Starbucks Coffee Music - スターバックス BGM - スタバ音楽,5019,46,11,0,P2DT1S,2023-07-31 22:00:08+00:00,2023-07-31,22:00:08
24 Hours Starbucks Music - Morning Music Cafe - Relaxing Jazz Music Mixed With Starbucks Coffee,2163,13,7,0,P1D,2023-07-19 22:00:08+00:00,2023-07-19,22:00:08
"Relaxing Starbucks Inspired Coffee Music - Coffee Shop Music, Cafe Jazz Music, Starbucks Music 2023",4846,34,9,0,PT23H59M59S,2023-07-07 22:00:07+00:00,2023-07-07,22:00:07
"Starbucks Coffee Music - Enchanting Piano Melodies, Bossa Nova Beats for Positive Morning Vibes",2875,31,8,0,P1D,2023-07-06 22:00:10+00:00,2023-07-06,22:00:10
Starbucks Positive : Starbucks Jazz Music 2023 - Sweet Jazz & Bossa Nova Music for Positive Mood,2487,25,7,0,P1D,2023-07-04 22:00:07+00:00,2023-07-04,22:00:07
Experience of Weekends with Starbucks Cafe Music: Elevate Your Vibes with Bossa Nova and Piano Music,3235,24,3,0,PT23H59M59S,2023-07-01 22:00:10+00:00,2023-07-01,22:00:10
"Positive Energy With Starbucks Music - Relaxing Piano Music With Starbucks Coffee For Work, Study",1250,10,1,0,PT23H59M56S,2023-06-29 22:04:51+00:00,2023-06-29,22:04:51
"Happy Starbucks Music - 24 Hours Smooth Starbucks Cafe Jazz Music - Positive Music For Work, Study",3670,37,3,0,PT23H59M56S,2023-06-29 22:00:07+00:00,2023-06-29,22:00:07
